id,name,account_id,Account_status,business_name,id_dev,label_status,Balance,create_date,age,createdAt,updatedAt
1,Darlan Benites,168923629836514,1,Darlan Benites,act_168923629836514,ACTIVE,0,2012-05-23T21:14:08.000Z,3351,2025-12-16T20:22:23.139Z,2025-12-17T19:09:03.392Z
2,[Kobe] Loja,233956613408982,1,BUDA CONCESSIONARIA DE MOTOS LTDA,act_233956613408982,ACTIVE,0,2013-03-28T12:16:57.000Z,2113,2025-12-16T20:22:23.162Z,2025-12-17T19:09:03.422Z
3,Âncora - CKB,795873787202237,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_795873787202237,ACTIVE,2904.6,2015-12-01T19:27:42.000Z,3668,2025-12-16T20:22:23.186Z,2025-12-17T19:09:03.530Z
4,Setin Incorporadora,994288607289217,1,SEI INCORPORACAO E PARTICIPACOES S.A.,act_994288607289217,ACTIVE,83328.34,2015-08-03T20:09:36.000Z,3786,2025-12-16T20:22:23.203Z,2025-12-17T19:09:03.595Z
5,Tryum,4215973155309655,1,,act_4215973155309655,ACTIVE,0,2025-11-03T21:37:07.000Z,0,2025-12-16T20:22:23.222Z,2025-12-17T19:09:03.625Z
6,Catofe,148193892310411,1,Leandro Lourenço,act_148193892310411,ACTIVE,0,2016-10-20T03:35:24.000Z,1737,2025-12-16T20:22:23.238Z,2025-12-17T19:09:03.672Z
7,Pizzaria Ciganinha,209384486191351,101,Leandro Lourenço,act_209384486191351,CLOSED,0,2017-01-17T01:47:18.000Z,0,2025-12-16T20:22:23.254Z,2025-12-17T19:09:03.708Z
8,R&M CLIMATIZAÇÕES IND E COM LTDA,102019950501633,2,RR CLIMATIZACOES INDUSTRIA E COMERCIO LTDA,act_102019950501633,DISABLED,0,2017-07-31T16:44:28.000Z,3026,2025-12-16T20:22:23.272Z,2025-12-17T19:09:03.767Z
9,Lopes & Junior Representação Comercial Ltda,105576233564392,1,LOPES E JUNIOR SERV DE INTERMEDIACAO DE NEGOCIOS EIRELI,act_105576233564392,ACTIVE,0,2017-12-04T17:36:49.000Z,2920,2025-12-16T20:22:23.288Z,2025-12-17T19:09:03.792Z
10,Noma Consórcios - Âncora,2341067906123726,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_2341067906123726,ACTIVE,8809.26,2019-02-22T17:56:30.000Z,2489,2025-12-16T20:22:23.307Z,2025-12-17T19:09:03.822Z
11,Strider Ads,2423435384561879,9,Marcos Antônio Rodrigues de arruda filho,act_2423435384561879,IN_GRACE_PERIOD,7046.73,2019-09-13T18:13:28.000Z,2276,2025-12-16T20:22:23.324Z,2025-12-17T19:09:03.842Z
12,Happy Day - Ads,801944550247058,1,Marcos Antônio Rodrigues,act_801944550247058,ACTIVE,0,2019-10-24T14:14:23.000Z,2197,2025-12-16T20:22:23.343Z,2025-12-17T19:09:03.877Z
13,Loja do Mecânico - Âncora,239334293680812,1,ANCORA ADMINISTRADORA DE CONSORCIOS S.A.,act_239334293680812,ACTIVE,0,2019-09-27T12:25:21.000Z,2253,2025-12-16T20:22:23.359Z,2025-12-17T19:09:03.932Z
14,Yuny - Oficial,611168766384272,1,YUNY STORE CONSULTORIA IMOBILIARIA LTDA.,act_611168766384272,ACTIVE,274745.25,2020-01-30T17:53:58.000Z,2127,2025-12-16T20:22:23.375Z,2025-12-17T19:09:03.972Z
